rgb_img,ir_img,rgb_label,ir_label
/home/whb/train/trainimg/00001.jpg,/home/whb/train/trainimgr/00001.jpg,/home/whb/train/trainlabel/00001.xml,/home/whb/train/trainlabelr/00001.xml
/home/whb/train/trainimg/00002.jpg,/home/whb/train/trainimgr/00002.jpg,/home/whb/train/trainlabel/00002.xml,/home/whb/train/trainlabelr/00002.xml
/home/whb/train/trainimg/00003.jpg,/home/whb/train/trainimgr/00003.jpg,/home/whb/train/trainlabel/00003.xml,/home/whb/train/trainlabelr/00003.xml
/home/whb/train/trainimg/00004.jpg,/home/whb/train/trainimgr/00004.jpg,/home/whb/train/trainlabel/00004.xml,/home/whb/train/trainlabelr/00004.xml
/home/whb/train/trainimg/00005.jpg,/home/whb/train/trainimgr/00005.jpg,/home/whb/train/trainlabel/00005.xml,/home/whb/train/trainlabelr/00005.xml
/home/whb/train/trainimg/00006.jpg,/home/whb/train/trainimgr/00006.jpg,/home/whb/train/trainlabel/00006.xml,/home/whb/train/trainlabelr/00006.xml
/home/whb/train/trainimg/00007.jpg,/home/whb/train/trainimgr/00007.jpg,/home/whb/train/trainlabel/00007.xml,/home/whb/train/trainlabelr/00007.xml
/home/whb/train/trainimg/00008.jpg,/home/whb/train/trainimgr/00008.jpg,/home/whb/train/trainlabel/00008.xml,/home/whb/train/trainlabelr/00008.xml
/home/whb/train/trainimg/00009.jpg,/home/whb/train/trainimgr/00009.jpg,/home/whb/train/trainlabel/00009.xml,/home/whb/train/trainlabelr/00009.xml
/home/whb/train/trainimg/00010.jpg,/home/whb/train/trainimgr/00010.jpg,/home/whb/train/trainlabel/00010.xml,/home/whb/train/trainlabelr/00010.xml
/home/whb/train/trainimg/00011.jpg,/home/whb/train/trainimgr/00011.jpg,/home/whb/train/trainlabel/00011.xml,/home/whb/train/trainlabelr/00011.xml
/home/whb/train/trainimg/00012.jpg,/home/whb/train/trainimgr/00012.jpg,/home/whb/train/trainlabel/00012.xml,/home/whb/train/trainlabelr/00012.xml
/home/whb/train/trainimg/00013.jpg,/home/whb/train/trainimgr/00013.jpg,/home/whb/train/trainlabel/00013.xml,/home/whb/train/trainlabelr/00013.xml
/home/whb/train/trainimg/00014.jpg,/home/whb/train/trainimgr/00014.jpg,/home/whb/train/trainlabel/00014.xml,/home/whb/train/trainlabelr/00014.xml
/home/whb/train/trainimg/00015.jpg,/home/whb/train/trainimgr/00015.jpg,/home/whb/train/trainlabel/00015.xml,/home/whb/train/trainlabelr/00015.xml
/home/whb/train/trainimg/00016.jpg,/home/whb/train/trainimgr/00016.jpg,/home/whb/train/trainlabel/00016.xml,/home/whb/train/trainlabelr/00016.xml
/home/whb/train/trainimg/00017.jpg,/home/whb/train/trainimgr/00017.jpg,/home/whb/train/trainlabel/00017.xml,/home/whb/train/trainlabelr/00017.xml
/home/whb/train/trainimg/00018.jpg,/home/whb/train/trainimgr/00018.jpg,/home/whb/train/trainlabel/00018.xml,/home/whb/train/trainlabelr/00018.xml
/home/whb/train/trainimg/00019.jpg,/home/whb/train/trainimgr/00019.jpg,/home/whb/train/trainlabel/00019.xml,/home/whb/train/trainlabelr/00019.xml
/home/whb/train/trainimg/00020.jpg,/home/whb/train/trainimgr/00020.jpg,/home/whb/train/trainlabel/00020.xml,/home/whb/train/trainlabelr/00020.xml
/home/whb/train/trainimg/00021.jpg,/home/whb/train/trainimgr/00021.jpg,/home/whb/train/trainlabel/00021.xml,/home/whb/train/trainlabelr/00021.xml
/home/whb/train/trainimg/00022.jpg,/home/whb/train/trainimgr/00022.jpg,/home/whb/train/trainlabel/00022.xml,/home/whb/train/trainlabelr/00022.xml
/home/whb/train/trainimg/00023.jpg,/home/whb/train/trainimgr/00023.jpg,/home/whb/train/trainlabel/00023.xml,/home/whb/train/trainlabelr/00023.xml
/home/whb/train/trainimg/00024.jpg,/home/whb/train/trainimgr/00024.jpg,/home/whb/train/trainlabel/00024.xml,/home/whb/train/trainlabelr/00024.xml
/home/whb/train/trainimg/00025.jpg,/home/whb/train/trainimgr/00025.jpg,/home/whb/train/trainlabel/00025.xml,/home/whb/train/trainlabelr/00025.xml
/home/whb/train/trainimg/00026.jpg,/home/whb/train/trainimgr/00026.jpg,/home/whb/train/trainlabel/00026.xml,/home/whb/train/trainlabelr/00026.xml
/home/whb/train/trainimg/00027.jpg,/home/whb/train/trainimgr/00027.jpg,/home/whb/train/trainlabel/00027.xml,/home/whb/train/trainlabelr/00027.xml
/home/whb/train/trainimg/00028.jpg,/home/whb/train/trainimgr/00028.jpg,/home/whb/train/trainlabel/00028.xml,/home/whb/train/trainlabelr/00028.xml
